"","GEOID","percent","pop_size","demographic","percent_final"
"43929","6001982000",0,0,"Asian",0
"43930","6001982100",0.416,424.32,"Asian",0.416
"43931","6001983200",0.194,146.47,"Asian",0.194
"43932","6001990000",NA,NA,"Asian",NA
"43933","6003010000",0.005,6.72,"Asian",0.005
"43934","6005000101",0.026,106.288,"Asian",0.026
"43935","6005000102",0.015,30.81,"Asian",0.015
"43936","6005000201",0.005,12.88,"Asian",0.005
"43937","6005000202",0,0,"Asian",0
"43938","6005000301",0.009,46.368,"Asian",0.009
"43939","6005000303",0.001,6.346,"Asian",0.001
"43940","6005000304",0.005,25.93,"Asian",0.005
"43941","6005000401",0.01,45.73,"Asian",0.01
"43942","6005000402",0.016,80.928,"Asian",0.016
"43943","6005000500",0.01,31.94,"Asian",0.01
"43944","6007000102",0.11,471.46,"Asian",0.11
"43945","6007000103",0.029,180.351,"Asian",0.029
"43946","6007000104",0.054,324.648,"Asian",0.054
"43947","6007000201",0.048,202.512,"Asian",0.048
"43948","6007000202",0.063,248.094,"Asian",0.063
"43949","6007000300",0.054,258.822,"Asian",0.054
"43950","6007000401",0.075,407.175,"Asian",0.075
"43951","6007000403",0.021,72.786,"Asian",0.021
"43952","6007000404",0.024,91.968,"Asian",0.024
"43953","6007000501",0.051,244.545,"Asian",0.051
"43954","6007000502",0.11,592.24,"Asian",0.11
"43955","6007000601",0.047,179.728,"Asian",0.047
"43956","6007000603",0.047,177.519,"Asian",0.047
"43957","6007000604",0.075,330,"Asian",0.075
"43958","6007000700",0.001,4.946,"Asian",0.001
"43959","6007000800",0.006,37.05,"Asian",0.006
"43960","6007000901",0.072,216.72,"Asian",0.072
"43961","6007000903",0.053,343.811,"Asian",0.053
"43962","6007000904",0.007,50.344,"Asian",0.007
"43963","6007001000",0.009,41.391,"Asian",0.009
"43964","6007001100",0.044,167.332,"Asian",0.044
"43965","6007001200",0.02,88.8,"Asian",0.02
"43966","6007001300",0.079,280.845,"Asian",0.079
"43967","6007001400",0.021,141.75,"Asian",0.021
"43968","6007001500",0.04,234.84,"Asian",0.04
"43969","6007001601",0,0,"Asian",0
"43970","6007001602",0.026,82.862,"Asian",0.026
"43971","6007001702",0.009,42.849,"Asian",0.009
"43972","6027000400",0.025,143.7,"Asian",0.025
"43973","6027000500",0.007,17.353,"Asian",0.007
"43974","6027000800",0.01,33.16,"Asian",0.01
"43975","6029000102",0.009,26.712,"Asian",0.009
"43976","6029000103",0.049,255.682,"Asian",0.049
"43977","6029000104",0.289,358.649,"Asian",0.289
"43978","6029000105",0.004,15.916,"Asian",0.004
"43979","6029000106",0,0,"Asian",0
"43980","6029000201",0.086,343.828,"Asian",0.086
"43981","6029000202",0,0,"Asian",0
"43982","6029000300",0.021,108.444,"Asian",0.021
"43983","6029000400",0.015,69.78,"Asian",0.015
"43984","6029000504",0.033,165.726,"Asian",0.033
"43985","6029000505",0.027,101.358,"Asian",0.027
"43986","6029000506",0.057,167.466,"Asian",0.057
"43987","6029000507",0.032,121.504,"Asian",0.032
"43988","6029000508",0,0,"Asian",0
"43989","6029000509",0.003,7.32,"Asian",0.003
"43990","6029000510",0.049,215.453,"Asian",0.049
"43991","6029000601",0.002,3.81,"Asian",0.002
"43992","6029000602",0.013,41.158,"Asian",0.013
"43993","6029000603",0.018,48.006,"Asian",0.018
"43994","6029000701",0,0,"Asian",0
"43995","6029000702",0.017,46.699,"Asian",0.017
"43996","6029000800",0.015,83.85,"Asian",0.015
"43997","6029000902",0.037,111.629,"Asian",0.037
"43998","6029000903",0.009,40.446,"Asian",0.009
"43999","6029000904",0.032,134.4,"Asian",0.032
"44000","6029000905",0.011,32.747,"Asian",0.011
"44001","6029000906",0.011,50.523,"Asian",0.011
"44002","6029000907",0,0,"Asian",0
"44003","6029000908",0.006,28.8,"Asian",0.006
"44004","6029000909",0.022,57.288,"Asian",0.022
