"","GEOID","demographic","percent","pop_size"
"292","37013930200","White",0.692,4190.752
"293","37013930300","Asian",0,0
"294","37013930300","Black",0.45,1631.25
"295","37013930300","Other",0.174,630.75
"296","37013930300","White",0.376,1363
"297","37013930400","Asian",0,0
"298","37013930400","Black",0.326,1725.518
"299","37013930400","Other",0.119,629.867
"300","37013930400","White",0.554,2932.322
"301","37013930501","Asian",0,0
"302","37013930501","Black",0.16,597.44
"303","37013930501","Other",0.121,451.814
"304","37013930501","White",0.718,2681.012
"305","37013930502","Asian",0,0
"306","37013930502","Black",0.156,547.716
"307","37013930502","Other",0.145,509.095
"308","37013930502","White",0.699,2454.189
"309","37013930600","Asian",0.003,9.18
"310","37013930600","Black",0.039,119.34
"311","37013930600","Other",0.008,24.48
"312","37013930600","White",0.949,2903.94
"313","37013930700","Asian",0.003,7.392
"314","37013930700","Black",0.02,49.28
"315","37013930700","Other",0.041,101.024
"316","37013930700","White",0.936,2306.304
"317","37013930800","Asian",0.01,23.5
"318","37013930800","Black",0.472,1109.2
"319","37013930800","Other",0.064,150.4
"320","37013930800","White",0.453,1064.55
"321","37013930900","Asian",0,0
"322","37013930900","Black",0.174,638.58
"323","37013930900","Other",0.034,124.78
"324","37013930900","White",0.792,2906.64
"325","37013931001","Asian",0,0
"326","37013931001","Black",0.218,649.64
"327","37013931001","Other",0.144,429.12
"328","37013931001","White",0.637,1898.26
"329","37013931002","Asian",0,0
"330","37013931002","Black",0.398,1210.318
"331","37013931002","Other",0.07,212.87
"332","37013931002","White",0.533,1620.853
"333","37015960100","Asian",0,0
"334","37015960100","Black",0.446,2229.108
"335","37015960100","Other",0.014,69.972
"336","37015960100","White",0.541,2703.918
"337","37015960200","Asian",0.007,26.558
"338","37015960200","Black",0.658,2496.452
"339","37015960200","Other",0.041,155.554
"340","37015960200","White",0.294,1115.436
"341","37015960300","Asian",0.004,12.756
"342","37015960300","Black",0.795,2535.255
"343","37015960300","Other",0.034,108.426
"344","37015960300","White",0.166,529.374
"345","37015960401","Asian",0.026,72.67
"346","37015960401","Black",0.5,1397.5
"347","37015960401","Other",0.026,72.67
"348","37015960401","White",0.448,1252.16
"349","37015960402","Asian",0.005,16.645
"350","37015960402","Black",0.715,2380.235
"351","37015960402","Other",0.096,319.584
"352","37015960402","White",0.185,615.865
"353","37017950101","Asian",0,0
"354","37017950101","Black",0.14,376.04
"355","37017950101","Other",0.308,827.288
"356","37017950101","White",0.551,1479.986
"357","37017950102","Asian",0.009,16.938
"358","37017950102","Black",0.185,348.17
"359","37017950102","Other",0.096,180.672
"360","37017950102","White",0.709,1334.338
"361","37017950200","Asian",0,0
"362","37017950200","Black",0.356,857.248
"363","37017950200","Other",0.13,313.04
"364","37017950200","White",0.514,1237.712
"365","37017950301","Asian",0.011,34.386
"366","37017950301","Black",0.275,859.65
"367","37017950301","Other",0.176,550.176
"368","37017950301","White",0.538,1681.788
"369","37017950302","Asian",0,0
"370","37017950302","Black",0.277,798.591
"371","37017950302","Other",0.065,187.395
"372","37017950302","White",0.658,1897.014
"373","37017950401","Asian",0,0
"374","37017950401","Black",0.509,1779.464
"375","37017950401","Other",0.058,202.768
"376","37017950401","White",0.433,1513.768
"377","37017950402","Asian",0,0
"378","37017950402","Black",0.658,1675.926
"379","37017950402","Other",0.013,33.111
"380","37017950402","White",0.329,837.963
"381","37017950501","Asian",0,0
"382","37017950501","Black",0.048,145.056
"383","37017950501","Other",0.048,145.056
"384","37017950501","White",0.904,2731.888
"385","37017950502","Asian",0,0
"386","37017950502","Black",0.22,757.02
"387","37017950502","Other",0.048,165.168
"388","37017950502","White",0.732,2518.812
"389","37017950601","Asian",0,0
"390","37017950601","Black",0.569,1445.26
"391","37017950601","Other",0.013,33.02
"392","37017950601","White",0.417,1059.18
"393","37017950602","Asian",0,0
"394","37017950602","Black",0.529,1097.146
"395","37017950602","Other",0.271,562.054
"396","37017950602","White",0.199,412.726
"397","37019020101","Asian",0.005,11.21
"398","37019020101","Black",0.388,869.896
"399","37019020101","Other",0.214,479.788
"400","37019020101","White",0.393,881.106
"401","37019020102","Asian",0.004,22.02
"402","37019020102","Black",0.09,495.45
"403","37019020102","Other",0.202,1112.01
"404","37019020102","White",0.704,3875.52
"405","37019020105","Asian",0.016,101.744
"406","37019020105","Black",0.049,311.591
"407","37019020105","Other",0.096,610.464
"408","37019020105","White",0.84,5341.56
"409","37019020106","Asian",0.004,12.108
"410","37019020106","Black",0.08,242.16
"411","37019020106","Other",0.024,72.648
"412","37019020106","White",0.892,2700.084
"413","37019020107","Asian",0,0
"414","37019020107","Black",0.047,183.77
"415","37019020107","Other",0.269,1051.79
"416","37019020107","White",0.683,2670.53
"417","37019020108","Asian",0,0
"418","37019020108","Black",0.306,921.672
"419","37019020108","Other",0.189,569.268
"420","37019020108","White",0.505,1521.06
"421","37019020201","Asian",0.015,87.99
"422","37019020201","Black",0.212,1243.592
"423","37019020201","Other",0.127,744.982
"424","37019020201","White",0.646,3789.436
"425","37019020203","Asian",0.021,45.36
"426","37019020203","Black",0.039,84.24
"427","37019020203","Other",0.131,282.96
"428","37019020203","White",0.809,1747.44
"429","37019020204","Asian",0,0
"430","37019020204","Black",0.032,223.296
"431","37019020204","Other",0.093,648.954
"432","37019020204","White",0.875,6105.75
"433","37019020205","Asian",0.001,7.961
"434","37019020205","Black",0.07,557.27
"435","37019020205","Other",0.066,525.426
"436","37019020205","White",0.862,6862.382
"437","37019020206","Asian",0.013,22.035
"438","37019020206","Black",0.112,189.84
"439","37019020206","Other",0.143,242.385
"440","37019020206","White",0.732,1240.74
"441","37019020304","Asian",0.004,38.756
"442","37019020304","Black",0.003,29.067
"443","37019020304","Other",0.041,397.249
"444","37019020304","White",0.953,9233.617
"445","37019020305","Asian",0,0
"446","37019020305","Black",0.187,529.958
"447","37019020305","Other",0.041,116.194
"448","37019020305","White",0.771,2185.014
"449","37019020306","Asian",0,0
"450","37019020306","Black",0.061,115.412
"451","37019020306","Other",0.02,37.84
"452","37019020306","White",0.918,1736.856
"453","37019020307","Asian",0,0
"454","37019020307","Black",0,0
"455","37019020307","Other",0.01,1.55
"456","37019020307","White",0.99,153.45
"457","37019020308","Asian",0,0
"458","37019020308","Black",0,0
"459","37019020308","Other",0.045,99.63
"460","37019020308","White",0.955,2114.37
"461","37019020311","Asian",0,0
"462","37019020311","Black",0.065,181.155
"463","37019020311","Other",0.039,108.693
"464","37019020311","White",0.895,2494.365
"465","37019020312","Asian",0.016,18.272
"466","37019020312","Black",0.073,83.366
"467","37019020312","Other",0.039,44.538
"468","37019020312","White",0.872,995.824
"469","37019020313","Asian",0,0
"470","37019020313","Black",0,0
"471","37019020313","Other",0.01,24.42
"472","37019020313","White",0.99,2417.58
"473","37019020314","Asian",0.026,9.516
"474","37019020314","Black",0.045,16.47
"475","37019020314","Other",0,0
"476","37019020314","White",0.929,340.014
"477","37019020315","Asian",0,0
"478","37019020315","Black",0,0
"479","37019020315","Other",0.02,41.18
"480","37019020315","White",0.98,2017.82
"481","37019020316","Asian",0.027,18.549
"482","37019020316","Black",0,0
"483","37019020316","Other",0.024,16.488
"484","37019020316","White",0.949,651.963
"485","37019020404","Asian",0,0
"486","37019020404","Black",0.128,366.72
"487","37019020404","Other",0.058,166.17
"488","37019020404","White",0.814,2332.11
"489","37019020405","Asian",0,0
"490","37019020405","Black",0.033,116.424
"491","37019020405","Other",0.029,102.312
"492","37019020405","White",0.937,3305.736
"493","37019020406","Asian",0,0
"494","37019020406","Black",0.005,4.76
"495","37019020406","Other",0.029,27.608
"496","37019020406","White",0.966,919.632
"497","37019020407","Asian",0,0
"498","37019020407","Black",0,0
"499","37019020407","Other",0.003,5.055
"500","37019020407","White",0.997,1679.945
"501","37019020408","Asian",0,0
"502","37019020408","Black",0.14,409.36
"503","37019020408","Other",0.208,608.192
"504","37019020408","White",0.653,1909.372
"505","37019020409","Asian",0.022,38.5
"506","37019020409","Black",0.038,66.5
"507","37019020409","Other",0.033,57.75
"508","37019020409","White",0.907,1587.25
"509","37019020504","Asian",0,0
"510","37019020504","Black",0.056,106.904
"511","37019020504","Other",0.059,112.631
"512","37019020504","White",0.885,1689.465
"513","37019020505","Asian",0.023,72.013
"514","37019020505","Black",0.213,666.903
"515","37019020505","Other",0.152,475.912
"516","37019020505","White",0.611,1913.041
"517","37019020508","Asian",0.011,30.492
"518","37019020508","Black",0.023,63.756
