"","School_District","demographic","children_5_17","percent_final","type"
"421","Gray Stone Day School","Black",21,0.0251196172248804,"charter"
"422","Gray Stone Day School","White",719,0.860047846889952,"charter"
"423","Gray Stone Day School","Asian",37,0.0442583732057416,"charter"
"424","Gray Stone Day School","Other",59,0.0705741626794258,"charter"
"425","Greene County Schools","Black",1118,0.364525595044017,"public"
"426","Greene County Schools","White",926,0.301923703945223,"public"
"427","Greene County Schools","Asian",5,0.00163025758069775,"public"
"428","Greene County Schools","Other",1018,0.331920443430062,"public"
"429","Greensboro Academy","Black",77,0.101851851851852,"charter"
"430","Greensboro Academy","White",533,0.705026455026455,"charter"
"431","Greensboro Academy","Asian",91,0.12037037037037,"charter"
"432","Greensboro Academy","Other",55,0.0727513227513227,"charter"
"433","Guilford County Schools","Black",29128,0.40612364407016,"public"
"434","Guilford County Schools","White",23321,0.325158249909372,"public"
"435","Guilford County Schools","Asian",4615,0.0643456679958729,"public"
"436","Guilford County Schools","Other",14658,0.204372438024595,"public"
"437","Guilford Preparatory Academy","Black",229,0.901574803149606,"charter"
"438","Guilford Preparatory Academy","White",4,0.015748031496063,"charter"
"439","Guilford Preparatory Academy","Asian",0,0,"charter"
"440","Guilford Preparatory Academy","Other",21,0.0826771653543307,"charter"
"441","Halifax County Schools","Black",2064,0.831252517116391,"public"
"442","Halifax County Schools","White",99,0.0398711236407572,"public"
"443","Halifax County Schools","Asian",4,0.00161095449053564,"public"
"444","Halifax County Schools","Other",316,0.127265404752316,"public"
"445","Haliwa-Saponi Tribal School","Black",17,0.126865671641791,"charter"
"446","Haliwa-Saponi Tribal School","White",9,0.0671641791044776,"charter"
"447","Haliwa-Saponi Tribal School","Asian",0,0,"charter"
"448","Haliwa-Saponi Tribal School","Other",108,0.805970149253731,"charter"
"449","Harnett County Schools","Black",5025,0.244942724835486,"public"
"450","Harnett County Schools","White",9610,0.468437728491348,"public"
"451","Harnett County Schools","Asian",140,0.00682427492078967,"public"
"452","Harnett County Schools","Other",5740,0.279795271752376,"public"
"453","Haywood County Schools","Black",92,0.0127848804891606,"public"
