"GEOID","percent","pop_size","race_ethnicity"
6085513500,0.355,449,"latino"
6087100100,0.14,298,"latino"
6087100200,0.196,1394,"latino"
6087100300,0.094,333,"latino"
6087100400,0.278,2890,"latino"
6087100500,0.241,1442,"latino"
6087100600,0.171,559,"latino"
6087100700,0.158,297,"latino"
6087100801,0.288,1141,"latino"
6087100802,0.085,240,"latino"
6087100900,0.184,716,"latino"
6087101001,0.227,919,"latino"
6087101002,0.368,1597,"latino"
6087101100,0.154,865,"latino"
6087101200,0.152,435,"latino"
6087110101,0.712,1798,"latino"
6087110102,0.678,3071,"latino"
6087110201,0.847,2711,"latino"
6087110202,0.715,3713,"latino"
6087110301,0.951,3853,"latino"
6087110302,0.96,3216,"latino"
6087110401,0.979,3248,"latino"
6087110402,0.829,3825,"latino"
6087110503,0.867,2855,"latino"
6087110504,0.91,3039,"latino"
6087110505,0.85,3927,"latino"
6087110506,0.654,2048,"latino"
6087110601,0.947,4967,"latino"
6111004305,0.207,487,"latino"
6111004400,0.66,5174,"latino"
6111004503,0.75,3841,"latino"
6111004504,0.784,4650,"latino"
6111004505,0.938,2351,"latino"
6111004507,0.931,2962,"latino"
6111004508,0.965,3949,"latino"
6111004600,0.115,230,"latino"
6111004704,0.719,1181,"latino"
6111004710,0.807,5251,"latino"
6111004711,0.531,1757,"latino"
6111004715,0.774,3914,"latino"
6111004716,0.862,4006,"latino"
6111004717,0.846,3716,"latino"
6111004901,0.561,4063,"latino"
6111004902,0.968,4562,"latino"
6111005002,0.943,2905,"latino"
6111005004,0.511,4722,"latino"
6111005005,0.853,3627,"latino"
6111005006,0.868,2640,"latino"
6111005202,0.15,376,"latino"
6111005203,0.34,1960,"latino"
6111005204,0.164,619,"latino"
6111005205,0.199,1417,"latino"
6111005304,0.25,1412,"latino"
6111005305,0.099,481,"latino"
6111005306,0.161,786,"latino"
6111005307,0.271,1715,"latino"
6111005308,0.269,750,"latino"
6111005401,0.426,1968,"latino"
6111005403,0.489,1278,"latino"
6111005404,0.308,1244,"latino"
6111005502,0.332,1802,"latino"
6111005503,0.191,802,"latino"
6111005504,0.313,1273,"latino"
6111005601,0.3,1738,"latino"
6111005602,0.407,2274,"latino"
6111005700,0.362,1398,"latino"
6111005801,0.09,464,"latino"
6111005803,0.094,321,"latino"
6111005804,0.063,336,"latino"
6111005901,0.144,888,"latino"
6111005906,0.109,685,"latino"
6111005907,0.08,270,"latino"
6111005908,0.157,447,"latino"
6013333200,0.164,985,"latino"
6013334001,0.176,733,"latino"
6013334006,0.169,787,"latino"
6013334007,0.161,550,"latino"
6013334008,0.142,590,"latino"
6013334200,0.098,735,"latino"
6013335000,0.207,698,"latino"
6013336101,0.542,2240,"latino"
6013336103,0.635,3120,"latino"
6013336104,0.503,1265,"latino"
6013336201,0.385,1369,"latino"
6013336202,0.686,4046,"latino"
6013337100,0.236,743,"latino"
6013337201,0.223,704,"latino"
6013337202,0.281,1511,"latino"
6013337300,0.096,576,"latino"
6013338101,0.43,2450,"latino"
6013338102,0.218,674,"latino"
6013338201,0.076,318,"latino"
6013338203,0.122,681,"latino"
6013338204,0.115,793,"latino"
6013338301,0.073,223,"latino"
6013338302,0.195,1077,"latino"
6013339001,0.159,603,"latino"
6013339003,0.098,393,"latino"
6013339004,0.143,470,"latino"
6013340001,0.133,804,"latino"
6013340003,0.057,210,"latino"
6013340004,0.165,675,"latino"
6013341000,0.08,395,"latino"
6013343001,0.087,500,"latino"
6013343002,0.116,520,"latino"
6013343003,0.069,255,"latino"
6013345101,0.119,821,"latino"
6013345102,0.148,666,"latino"
6013345103,0.058,316,"latino"
6013345105,0.079,488,"latino"
6013345111,0.119,699,"latino"
6013345112,0.082,586,"latino"
6013345113,0.07,354,"latino"
6013345114,0.065,439,"latino"
6013345115,0.058,386,"latino"
6013345116,0.116,328,"latino"
6029004903,0.675,3494,"latino"
6029004904,0.701,2427,"latino"
6029005003,0.857,3084,"latino"
6029005005,0.872,2635,"latino"
6029005006,0.691,2749,"latino"
6029005103,0.172,402,"latino"
6029005104,0.135,558,"latino"
6029005203,0.019,84,"latino"
6029005205,0.098,371,"latino"
6029005206,0.134,340,"latino"
6029005207,0.056,103,"latino"
6029005208,0.097,250,"latino"
6029005300,0.239,541,"latino"
6029005402,0.133,682,"latino"
6029005405,0.265,655,"latino"
6029005406,0.139,517,"latino"
6029005407,0.249,873,"latino"
6029005408,0.196,1016,"latino"
6029005409,0.164,738,"latino"
6029005410,0.19,348,"latino"
6029005508,0.261,1235,"latino"
6029005509,0.155,672,"latino"
6029005510,0.074,119,"latino"
6029005511,0.393,1705,"latino"
6029005512,0.27,913,"latino"
6029005513,0.393,771,"latino"
6029005514,0.434,1687,"latino"
6029005600,0.255,617,"latino"
6029005700,0.182,532,"latino"
6029005803,0.485,1554,"latino"
6029005804,0.479,2819,"latino"
6029005805,0.35,781,"latino"
6029005806,0.306,1439,"latino"
6029005900,0.431,1440,"latino"
6029006002,0.525,2249,"latino"
6029006003,0.333,2001,"latino"
6029006004,0.175,220,"latino"
6029006006,0.245,1009,"latino"
6029006009,0.181,481,"latino"
6029006010,0.116,324,"latino"
6029006011,0.235,780,"latino"
6029006012,0.132,431,"latino"
6029006101,0.348,1332,"latino"
6029006102,0.221,1095,"latino"
6029006201,0.767,1919,"latino"
6029006202,0.905,7157,"latino"
6037206051,0.231,277,"latino"
6037206052,0.189,579,"latino"
6037206053,0.727,2161,"latino"
6037206054,0.753,1805,"latino"
6037206201,0.183,391,"latino"
6037206202,0.062,114,"latino"
6037206301,0.145,264,"latino"
6037206302,0.177,322,"latino"
6037206303,0.233,566,"latino"
6037207101,0.146,592,"latino"
6037207102,0.229,711,"latino"
6037207103,0.076,156,"latino"
6037207303,0.219,491,"latino"
6037207304,0.265,557,"latino"
6037207305,0.378,271,"latino"
6037207306,0.217,429,"latino"
6037207307,0.159,232,"latino"
6037207308,0.13,167,"latino"
6037207400,0.429,910,"latino"
6037207501,0.27,546,"latino"
6037207502,0.05,166,"latino"
6037207711,0.175,329,"latino"
6037207712,0.13,513,"latino"
6037207901,0.297,888,"latino"
6037207902,0.25,1559,"latino"
6037208001,0.417,937,"latino"
6037208002,0.865,3931,"latino"
6037208301,0.913,1888,"latino"
6037208302,0.711,3560,"latino"
6037208401,0.646,2724,"latino"
6037208402,0.691,1973,"latino"
6037208501,0.438,1134,"latino"
6037208502,0.788,3146,"latino"
6037208610,0.533,2336,"latino"
6037208620,0.473,1897,"latino"
6037208710,0.336,1628,"latino"
6037208720,0.754,2716,"latino"
6037208801,0.551,1762,"latino"
6037208802,0.517,1481,"latino"
6037208902,0.899,2274,"latino"
6037208903,0.849,3191,"latino"
6037208904,0.842,3534,"latino"
6037209103,0.9,3417,"latino"
6037404301,0.891,5017,"latino"
6037404302,0.723,1552,"latino"
6037404401,0.848,3205,"latino"
6037404402,0.679,3181,"latino"
6037404501,0.882,2636,"latino"
6037404503,0.666,1873,"latino"
6037404504,0.723,3634,"latino"
6037404600,0.918,1248,"latino"
6037404701,0.737,4265,"latino"
6037404702,0.634,3199,"latino"
6037404703,0.824,2704,"latino"
6037404804,0.688,3024,"latino"
6037404805,0.713,1993,"latino"
6037404806,0.721,4387,"latino"
6037404901,0.713,4268,"latino"
6037404902,0.693,2492,"latino"
6037404903,0.689,1630,"latino"
6037405001,0.8,4553,"latino"
6037405002,0.84,2684,"latino"
