location,report_date,value,demographic,target
37,2020-12-12,5755,Other,imputed inc case 
37,2020-12-19,6297,Other,imputed inc case 
37,2020-12-26,5031,Other,imputed inc case 
37,2021-01-02,8427,Other,imputed inc case 
37,2021-01-09,9795,Other,imputed inc case 
37,2021-01-16,7837,Other,imputed inc case 
37,2021-01-23,6584,Other,imputed inc case 
37,2021-01-30,5480,Other,imputed inc case 
37,2021-02-06,4167,Other,imputed inc case 
37,2021-02-13,3179,Other,imputed inc case 
37,2021-02-20,2425,Other,imputed inc case 
37,2021-02-27,2013,Other,imputed inc case 
37,2021-03-06,1737,Other,imputed inc case 
37,2021-03-13,1475,Other,imputed inc case 
37,2021-03-20,1551,Other,imputed inc case 
37,2021-03-27,1798,Other,imputed inc case 
37,2021-04-03,1547,Other,imputed inc case 
37,2020-03-07,1,White,imputed inc case 
37,2020-03-14,55,White,imputed inc case 
37,2020-03-21,475,White,imputed inc case 
37,2020-03-28,629,White,imputed inc case 
37,2020-04-04,584,White,imputed inc case 
37,2020-04-11,955,White,imputed inc case 
37,2020-04-18,816,White,imputed inc case 
37,2020-04-25,1284,White,imputed inc case 
37,2020-05-02,1245,White,imputed inc case 
37,2020-05-09,1741,White,imputed inc case 
37,2020-05-16,2041,White,imputed inc case 
37,2020-05-23,2447,White,imputed inc case 
37,2020-05-30,2638,White,imputed inc case 
37,2020-06-06,3571,White,imputed inc case 
37,2020-06-13,4067,White,imputed inc case 
37,2020-06-20,4864,White,imputed inc case 
37,2020-06-27,5832,White,imputed inc case 
37,2020-07-04,5880,White,imputed inc case 
37,2020-07-11,6984,White,imputed inc case 
37,2020-07-18,6472,White,imputed inc case 
37,2020-07-25,6338,White,imputed inc case 
37,2020-08-01,5976,White,imputed inc case 
37,2020-08-08,5385,White,imputed inc case 
37,2020-08-15,5217,White,imputed inc case 
37,2020-08-22,6387,White,imputed inc case 
37,2020-08-29,6169,White,imputed inc case 
37,2020-09-05,5496,White,imputed inc case 
37,2020-09-12,4983,White,imputed inc case 
37,2020-09-19,5262,White,imputed inc case 
37,2020-09-26,5519,White,imputed inc case 
37,2020-10-03,7409,White,imputed inc case 
37,2020-10-10,8220,White,imputed inc case 
37,2020-10-17,8772,White,imputed inc case 
37,2020-10-24,9166,White,imputed inc case 
37,2020-10-31,9576,White,imputed inc case 
37,2020-11-07,10522,White,imputed inc case 
37,2020-11-14,13861,White,imputed inc case 
37,2020-11-21,15423,White,imputed inc case 
37,2020-11-28,15308,White,imputed inc case 
37,2020-12-05,23985,White,imputed inc case 
37,2020-12-12,23689,White,imputed inc case 
37,2020-12-19,26015,White,imputed inc case 
37,2020-12-26,21467,White,imputed inc case 
37,2021-01-02,33131,White,imputed inc case 
37,2021-01-09,35329,White,imputed inc case 
37,2021-01-16,26497,White,imputed inc case 
37,2021-01-23,21360,White,imputed inc case 
37,2021-01-30,18072,White,imputed inc case 
37,2021-02-06,15392,White,imputed inc case 
37,2021-02-13,12227,White,imputed inc case 
37,2021-02-20,9943,White,imputed inc case 
37,2021-02-27,7978,White,imputed inc case 
37,2021-03-06,6467,White,imputed inc case 
37,2021-03-13,6159,White,imputed inc case 
37,2021-03-20,6196,White,imputed inc case 
37,2021-03-27,6556,White,imputed inc case 
37,2021-04-03,6103,White,imputed inc case 
